OrderID;OrderDate;OrderPriority;OrderQuantity;Sales;ShipMode;ShippingCost;Province;CustomerSegment;ProductCategory;ProductSubCategory;ProductContainer;ShipDate
13638;9/30/2011;High;49; 682.77;Regular Air;yan.99;Ontario;Consumer;Technology;Computer Peripherals;Small Pack;10.02.2011
56322;9/30/2011;Medium;26;799.84;Regular Air;03.iyn;Manitoba;Small Business;Technology;Computer Peripherals;Small Pack;10.02.2011
56322;9/30/2011;Medium;16;1,689,137;Regular Air;08.avq;Manitoba;Small Business;Technology;Telephones and Communication;Small Box;10.02.2011
34853;9/29/2011;Critical;49;651.9;Regular Air;iyn.85;British Columbia;Small Business;Furniture;Office Furnishings;Wrap Bag;10.02.2011
19264;9/29/2011;High;40;161.72;Regular Air;may.26;Yukon;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;10.01.2011
24326;9/29/2011;Critical;37;1596.86;Regular Air;03.may;Saskachewan;Corporate;Office Supplies;Appliances;Small Box;10.01.2011
8419;9/29/2011;Critical;24;152.6;Regular Air;07.mar;Nunavut;Small Business;Office Supplies;Paper;Small Box;9/30/2011
19264;9/29/2011;High;23;107.75;Regular Air;yan.52;Yukon;Consumer;Office Supplies;Paper;Wrap Bag;9/30/2011
8419;9/29/2011;Critical;19;368.04;Express Air;may.97;Nunavut;Small Business;Office Supplies;Paper;Small Box;10.01.2011
24326;9/29/2011;Critical;12;78.36;Regular Air;01.may;Saskachewan;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;9/30/2011
36608;9/28/2011;Low;49;4273.95;Regular Air;19.99;Alberta;Small Business;Office Supplies;Envelopes;Small Box;10.05.2011
44997;9/28/2011;Low;46;88.1;Regular Air;apr.86;New Brunswick;Consumer;Furniture;Office Furnishings;Small Box;10.02.2011
36608;9/28/2011;Low;40;825.8;Regular Air;fev.87;Alberta;Small Business;Office Supplies;Pens & Art Supplies;Small Pack;10.02.2011
36930;9/28/2011;Medium;34;26,324,755;Regular Air;03.mar;British Columbia;Home Office;Technology;Telephones and Communication;Small Pack;9/30/2011
52805;9/28/2011;High;20;596.56;Express Air;05.may;Ontario;Corporate;Technology;Computer Peripherals;Small Box;9/28/2011
30787;9/27/2011;High;43;6,477,459;Regular Air;avq.99;Ontario;Home Office;Technology;Telephones and Communication;Small Box;9/28/2011
50464;9/27/2011;Critical;7;105.94;Regular Air;iyl.17;Manitoba;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;9/30/2011
14884;9/27/2011;High;6;4,739,855;Regular Air;04.sen;Manitoba;Corporate;Technology;Telephones and Communication;Small Box;9/29/2011
58947;9/26/2011;Not Specified;48;410.15;Regular Air;fev.87;Manitoba;Home Office;Office Supplies;Paper;Wrap Bag;9/26/2011
45601;9/26/2011;High;47;945.03;Regular Air;may.97;Prince Edward Island;Corporate;Office Supplies;Paper;Small Box;9/28/2011
58947;9/26/2011;Not Specified;28;135.72;Regular Air;05.fev;Manitoba;Home Office;Office Supplies;Paper;Small Box;9/27/2011
56929;9/26/2011;High;22;205.88;Regular Air;yan.99;Alberta;Home Office;Technology;Computer Peripherals;Small Pack;9/28/2011
24996;9/25/2011;Critical;36;1793.24;Regular Air;05.yan;Alberta;Consumer;Office Supplies;Appliances;Medium Box;9/26/2011
18085;9/25/2011;High;33;53,529,345;Regular Air;04.fev;Ontario;Corporate;Technology;Telephones and Communication;Small Box;9/26/2011
18085;9/25/2011;High;23;8127.51;Delivery Truck;40.19;Ontario;Corporate;Furniture;Tables;Jumbo Box;9/27/2011
24996;9/25/2011;Critical;2;143,667;Regular Air;yan.25;Alberta;Consumer;Technology;Telephones and Communication;Small Pack;9/27/2011
31233;9/24/2011;Low;41;1298.29;Regular Air;yan.99;Yukon;Home Office;Technology;Computer Peripherals;Small Pack;9/28/2011
15621;9/24/2011;Critical;39;1105.66;Regular Air;13.99;British Columbia;Consumer;Office Supplies;Storage & Organization;Medium Box;9/24/2011
31233;9/24/2011;Low;35;590.32;Regular Air;avq.99;Yukon;Home Office;Office Supplies;Pens & Art Supplies;Small Pack;9/28/2011
45794;9/24/2011;Critical;28;1208.35;Regular Air;okt.25;Manitoba;Consumer;Technology;Computer Peripherals;Small Box;9/26/2011
31233;9/24/2011;Low;19;4245.93;Regular Air;69;Yukon;Home Office;Furniture;Tables;Large Box;10.03.2011
15621;9/24/2011;Critical;18;35.51;Express Air;yan.57;British Columbia;Consumer;Office Supplies;Pens & Art Supplies;Wrap Bag;9/25/2011
38758;9/24/2011;Not Specified;7;497.2;Regular Air;49;British Columbia;Consumer;Office Supplies;Appliances;Large Box;9/26/2011
31233;9/24/2011;Low;3;19.34;Regular Air;05.fev;Yukon;Home Office;Office Supplies;Paper;Small Box;9/26/2011
22149;9/23/2011;Low;47;191.13;Regular Air;01.fev;Newfoundland;Small Business;Office Supplies;Pens & Art Supplies;Wrap Bag;9/25/2011
52711;9/23/2011;Not Specified;41;755.19;Regular Air;avq.99;New Brunswick;Home Office;Furniture;Office Furnishings;Small Pack;9/25/2011
